Population,Year,Literate,Gender,Race,Age-Group,State
420.0,2022,Yes,Male,Asian,45-54,AM
29.0,2022,Yes,Male,Asian,45-54,RR
651.0,2022,Yes,Male,Asian,45-54,PA
38.0,2022,Yes,Male,Asian,45-54,AP
165.0,2022,Yes,Male,Asian,45-54,TO
231.0,2022,Yes,Male,Asian,45-54,MA
104.0,2022,Yes,Male,Asian,45-54,PI
431.0,2022,Yes,Male,Asian,45-54,CE
199.0,2022,Yes,Male,Asian,45-54,RN
196.0,2022,Yes,Male,Asian,45-54,PB
493.0,2022,Yes,Male,Asian,45-54,PE
172.0,2022,Yes,Male,Asian,45-54,AL
109.0,2022,Yes,Male,Asian,45-54,SE
745.0,2022,Yes,Male,Asian,45-54,BA
1844.0,2022,Yes,Male,Asian,45-54,MG
224.0,2022,Yes,Male,Asian,45-54,ES
1311.0,2022,Yes,Male,Asian,45-54,RJ
34316.0,2022,Yes,Male,Asian,45-54,SP
6536.0,2022,Yes,Male,Asian,45-54,PR
828.0,2022,Yes,Male,Asian,45-54,SC
493.0,2022,Yes,Male,Asian,45-54,RS
1326.0,2022,Yes,Male,Asian,45-54,MS
709.0,2022,Yes,Male,Asian,45-54,MT
984.0,2022,Yes,Male,Asian,45-54,GO
847.0,2022,Yes,Male,Asian,45-54,DF
222.0,2022,Yes,Male,Asian,55-64,RO
53.0,2022,Yes,Male,Asian,55-64,AC
287.0,2022,Yes,Male,Asian,55-64,AM
31.0,2022,Yes,Male,Asian,55-64,RR
456.0,2022,Yes,Male,Asian,55-64,PA
30.0,2022,Yes,Male,Asian,55-64,AP
124.0,2022,Yes,Male,Asian,55-64,TO
182.0,2022,Yes,Male,Asian,55-64,MA
95.0,2022,Yes,Male,Asian,55-64,PI
324.0,2022,Yes,Male,Asian,55-64,CE
161.0,2022,Yes,Male,Asian,55-64,RN
141.0,2022,Yes,Male,Asian,55-64,PB
403.0,2022,Yes,Male,Asian,55-64,PE
121.0,2022,Yes,Male,Asian,55-64,AL
86.0,2022,Yes,Male,Asian,55-64,SE
588.0,2022,Yes,Male,Asian,55-64,BA
1532.0,2022,Yes,Male,Asian,55-64,MG
166.0,2022,Yes,Male,Asian,55-64,ES
1048.0,2022,Yes,Male,Asian,55-64,RJ
32762.0,2022,Yes,Male,Asian,55-64,SP
6385.0,2022,Yes,Male,Asian,55-64,PR
567.0,2022,Yes,Male,Asian,55-64,SC
433.0,2022,Yes,Male,Asian,55-64,RS
1234.0,2022,Yes,Male,Asian,55-64,MS
573.0,2022,Yes,Male,Asian,55-64,MT
